date,implied_probability,market_id,token_id,title,category,category_base,category_expanded,source_category,tag_labels,outcome_label,volume,liquidity,bid,ask,spread,active,closed,start_date,expiry_date,created_at,url_slug,log_volume,bid_ask_spread,time_to_expiry_days,market_age_days,prob_level,prob_return,rolling_volatility_7d,rolling_volatility_14d,future_volatility_7d,recent_volatility_7d,predicted_future_volatility_7d,risk_score
2026-05-30,0.415,2244109,18110789428391406482230306080653613096309178214543987995456679527322864131310,"Will Hyperliquid perform an airdrop by June 30, 2027?",Crypto Airdrops,Crypto,Crypto Airdrops,,"Crypto, Airdrops, Featured, Pre-Market",Yes,105.417595,161.624,0.22,0.61,0.39,True,False,2026-05-12 19:45:54.129729,2027-07-01 04:00:00,2026-05-12T19:37:45.161001Z,will-hyperliquid-perform-an-airdrop-by-june-30-2027,4.667370929777358,0.39,397,17,0.415,0.0,0.0254717397091271,0.0173403233299386,,0.0254717397091271,0.06719413759754012,10.0
2026-05-30,0.455,2119266,4073964439546781679844222219197458984323215148120046536055850319869173017640,"Will MegaETH perform an airdrop by December 31, 2026?",Crypto Airdrops,Crypto,Crypto Airdrops,,"Airdrops, MegaETH, Crypto, Pre-Market",Yes,5400.663769999998,1016.3042,0.28,0.53,0.25,True,False,2026-04-29 21:35:24.690660,2027-01-01 05:00:00,2026-04-29T21:32:45.048017Z,will-megaeth-perform-an-airdrop-by-december-31-2026,8.594462290653151,0.25,216,30,0.455,0.1,0.0579121859206715,0.0569873702450782,,0.0579121859206715,0.060831844523311966,9.05
2026-05-30,0.41,2100106,35599907049186982879557420969598528789434547136942253652554709047485665633870,"Will Hyperliquid perform an airdrop by December 31, 2027?",Crypto Airdrops,Crypto,Crypto Airdrops,,"Crypto, Airdrops, Featured, Pre-Market",Yes,1563.3346289999995,533.1941,0.39,0.45,0.06,True,False,2026-04-27 21:28:09.225000,2028-01-01 05:00:00,2026-04-27T21:25:09.476682Z,will-hyperliquid-perform-an-airdrop-by-december-31-2027-117,7.355215855380813,0.06,581,32,0.41,0.0149999999999999,0.0543029421284844,0.0381383398568024,,0.0543029421284844,0.04016356763800839,5.98
2026-05-30,0.89,824952,111128191581505463501777127559667396812474366956707382672202929745167742497287,"MicroStrategy sells any Bitcoin by December 31, 2026?",Crypto Corporate,Crypto,Crypto Corporate,,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",Yes,1884099.3433420083,56996.8315,0.88,0.9,0.02,True,False,2025-12-04 21:46:05.703000,2027-01-01 05:00:00,2025-12-04T21:44:44.687695Z,microstrategy-sells-any-bitcoin-by-december-31-2026,14.448960993497383,0.02,216,176,0.89,0.055,0.0412310562561765,0.0336534536868796,,0.0412310562561765,0.03825205800822873,5.7
2026-05-30,0.6945,692258,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",Crypto Corporate,Crypto,Crypto Corporate,,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",Yes,4781678.317310987,62996.10682,0.694,0.695,0.001,True,False,2025-11-19 22:51:30.483000,2026-07-01 04:00:00,2025-11-19T22:50:03.261894Z,microstrategy-sells-any-bitcoin-by-june-30-2026,15.380302364381828,0.001,32,191,0.6945,0.155,0.0579121859206715,0.0569873702450782,,0.0579121859206715,0.037475473006304896,5.58
2026-05-30,0.2265,2169995,25714007960293389110960044475283546872601238755063051359394740854408462452120,"MicroStrategy sells any Bitcoin by May 31, 2026?",Crypto Corporate,Crypto,Crypto Corporate,,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",Yes,7474941.797317907,162226.27886,0.225,0.226,0.001,True,False,2026-05-05 23:48:20.102334,2026-07-01 04:00:00,2026-05-05T23:45:21.015988Z,microstrategy-sells-any-bitcoin-by-may-31-2026,15.827067024679025,0.001,32,24,0.2265,0.11,0.0558306324862035,0.0569873702450782,,0.0558306324862035,0.02915368976377994,4.34
2026-05-30,0.32,691547,34626184950254225208692030156208941308358060420950772251072421141618169142241,"Kraken IPO by December 31, 2026?",Crypto Corporate,Crypto,Crypto Corporate,,"exchange, Tech, Crypto, Finance, Business, 2025 Predictions, Featured, IPOs",Yes,529369.5594840021,5544.9389,0.3,0.34,0.04,True,False,2025-11-19 15:49:34.522000,2027-01-01 05:00:00,2025-11-19T15:48:14.624315Z,kraken-ipo-by-december-31-2026-513,13.179443956129427,0.04,216,191,0.32,0.0449999999999999,0.0310721127456146,0.0569873702450782,,0.0310721127456146,0.02891756991311898,4.31
2026-05-30,0.255,1048199,44827572479353518081244438746113968420401867280288091969239280589388541478697,Taylor Swift pregnant before 2027?,Other,Pop Culture,Culture / Gaming,,"Music, Celebrities, Culture, Taylor Swift",Yes,34002.350614999996,699.9453,0.25,0.33,0.08,True,False,2025-12-28 23:03:36.924670,2026-12-31 12:00:00,2025-12-28T18:05:27.904845Z,taylor-swift-pregnant-before-2027,10.434214346242811,0.08,215,152,0.255,-0.01,0.022493385271061,0.0189743899118647,,0.022493385271061,0.026540929423835277,3.95
2026-05-30,0.25,1068327,23979773390611496299652546131606735686099256186322678196712320732715801255871,"Will Pump.fun perform an airdrop by December 31, 2026",Crypto Airdrops,Crypto,Crypto Airdrops,,"Crypto, Crypto Prices, Airdrops, Pre-Market",Yes,156243.1486209997,1431.4804,0.22,0.28,0.06,True,False,2025-12-30 20:43:41.136000,2027-01-01 05:00:00,2025-12-30T20:42:32.722107Z,will-pumpfun-perform-an-airdrop-by-december-31-2026,11.95917511807182,0.06,216,150,0.25,0.005,0.0128637549135621,0.0569873702450782,,0.0128637549135621,0.02416922705761352,3.6
2026-05-30,0.2545,553866,102227184035967850089766981958743064457339118173548431660886438726896222843254,Will the San Antonio Spurs win the 2026 NBA Finals?,Basketball,Sports,Basketball,,"Sports, NBA, NBA Finals, Basketball, NBA Champion, 2026 NBA Playoffs",Yes,31973588.98668335,274068.88449,0.254,0.255,0.001,True,False,2025-06-23 16:02:23.789333,2026-07-01 00:00:00,2025-06-19T18:23:33.289121Z,will-the-san-antonio-spurs-win-the-2026-nba-finals,17.280420807089648,0.001,32,340,0.2545,0.0995,0.0579121859206715,0.0569873702450782,,0.0579121859206715,0.021345415223949237,3.18
