term,coef,std_err,t_value,p_value,conf_low,conf_high
"C(category, Treatment(reference='US Elections'))[T.Basketball]",0.0004120714124880656,0.00020467704177162534,2.0132761785166253,0.04409215913612557,1.0899841867638947e-05,0.0008132429831084922
"C(category, Treatment(reference='US Elections'))[T.Crypto Airdrops]",0.007332582483998177,0.0002939113207647933,24.948281899852983,2.3730282079485603e-136,0.006756509734686622,0.007908655233309731
"C(category, Treatment(reference='US Elections'))[T.Crypto Corporate]",0.008541442574771154,0.0002846347020068249,30.008437181234317,1.047399282594548e-195,0.007983552205295504,0.009099332944246804
"C(category, Treatment(reference='US Elections'))[T.Football / Soccer]",-0.0005146366523942623,0.00021058907943312957,-2.443795536689641,0.01453788017646312,-0.0009273959487982143,-0.00010187735599031026
"C(category, Treatment(reference='US Elections'))[T.Hockey]",0.002257548985756339,0.00024924194843974014,9.057660638141545,1.3904022785539643e-19,0.0017690292033000754,0.002746068768212602
"C(category, Treatment(reference='US Elections'))[T.Other]",0.004191840411575345,0.0002875542698033241,14.577562748215842,5.159012434310268e-48,0.0036282276240487184,0.004755453199101971
Intercept,0.009130551437011409,0.0005545617119308412,16.464446139314557,1.039281156351126e-60,0.008043598102843717,0.0102175047711791
bid_ask_spread,0.10145950904188351,0.003056463024425849,33.195071633802115,1.9650230735064972e-238,0.09546877328843097,0.10745024479533606
log_volume,-0.00048502022679066965,2.7754407866078936e-05,-17.475430538132823,3.91511808907302e-68,-0.0005394194857349054,-0.00043062096784643385
prob_level,0.016088842595593834,0.0002584940202360893,62.24067613208026,0.0,0.01558218854589437,0.0165954966452933
recent_volatility_7d,0.2764834192568911,0.0041689807692723525,66.31918796429184,0.0,0.2683121238902058,0.28465471462357644
time_to_expiry_days,-7.400980083115299e-07,2.3725302970210345e-07,-3.119445973949425,0.0018131807602426897,-1.205119242428479e-06,-2.750767741945808e-07
