market_id,event_id,event_title,title,source_category,category,tag_labels,token_id,outcome_label,volume,liquidity,bid,ask,spread,active,closed,start_date,expiry_date,created_at,url_slug,fetched_at
2169995,16167,MicroStrategy sells any Bitcoin by ___ ?,"MicroStrategy sells any Bitcoin by May 31, 2026?",,Crypto,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",25714007960293389110960044475283546872601238755063051359394740854408462452120,Yes,7474941.797317907,162226.27886,0.225,0.226,0.001,True,False,2026-05-05T23:48:20.102334Z,2026-07-01T04:00:00Z,2026-05-05T23:45:21.015988Z,microstrategy-sells-any-bitcoin-by-may-31-2026,2026-05-30T07:54:11.206357+00:00
692258,16167,MicroStrategy sells any Bitcoin by ___ ?,"MicroStrategy sells any Bitcoin by June 30, 2026?",,Crypto,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",110251828161543119357013227499774714771527179764174739487025581227481937033858,Yes,4781678.317310987,62996.10682,0.694,0.695,0.001,True,False,2025-11-19T22:51:30.483Z,2026-07-01T04:00:00Z,2025-11-19T22:50:03.261894Z,microstrategy-sells-any-bitcoin-by-june-30-2026,2026-05-30T07:54:11.206357+00:00
692250,16167,MicroStrategy sells any Bitcoin by ___ ?,"MicroStrategy sells any Bitcoin by March 31, 2026?",,Crypto,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",108547978327958467449318042977006580876058560639743186491243488736783119648127,Yes,2710379.6263180017,282751.28255,,0.001,0.001,True,True,2025-11-19T23:54:36.827403Z,2027-01-01T05:00:00Z,2025-11-19T22:49:38.387602Z,microstrategy-sells-any-bitcoin-by-march-31-2026,2026-05-30T07:54:11.206357+00:00
824952,16167,MicroStrategy sells any Bitcoin by ___ ?,"MicroStrategy sells any Bitcoin by December 31, 2026?",,Crypto,"Economy, Business, 2025 Predictions, Crypto, MicroStrategy, Stocks",111128191581505463501777127559667396812474366956707382672202929745167742497287,Yes,1884099.3433420083,56996.8315,0.88,0.9,0.02,True,False,2025-12-04T21:46:05.703Z,2027-01-01T05:00:00Z,2025-12-04T21:44:44.687695Z,microstrategy-sells-any-bitcoin-by-december-31-2026,2026-05-30T07:54:11.206357+00:00
556108,29005,MegaETH airdrop by...?,Will MegaETH perform an airdrop by June 30? ,,Crypto,"Airdrops, MegaETH, Crypto, Pre-Market",96797656031191119176188453471637044475353637081608890153571023284371119486681,Yes,1549429.9261529965,4482.03461,0.141,0.186,0.045,True,False,2025-06-26T19:51:03.475Z,2026-07-01T04:00:00Z,2025-06-26T19:38:06.447107Z,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,2026-05-30T07:54:11.206357+00:00
691547,16183,Kraken IPO by ___ ?,"Kraken IPO by December 31, 2026?",,Crypto,"exchange, Tech, Crypto, Finance, Business, 2025 Predictions, Featured, IPOs",34626184950254225208692030156208941308358060420950772251072421141618169142241,Yes,529369.5594840021,5544.9389,0.3,0.34,0.04,True,False,2025-11-19T15:49:34.522Z,2027-01-01T05:00:00Z,2025-11-19T15:48:14.624315Z,kraken-ipo-by-december-31-2026-513,2026-05-30T07:54:11.206357+00:00
1068327,25930,Pump.fun airdrop by ....? ,"Will Pump.fun perform an airdrop by December 31, 2026",,Crypto,"Crypto, Crypto Prices, Airdrops, Pre-Market",23979773390611496299652546131606735686099256186322678196712320732715801255871,Yes,156243.1486209997,1431.4804,0.22,0.28,0.06,True,False,2025-12-30T20:43:41.136Z,2027-01-01T05:00:00Z,2025-12-30T20:42:32.722107Z,will-pumpfun-perform-an-airdrop-by-december-31-2026,2026-05-30T07:54:11.206357+00:00
622738,27831,Hyperliquid airdrop by ....? ,"Will Hyperliquid perform an airdrop by December 31, 2026? ",,Crypto,"Crypto, Airdrops, Featured, Pre-Market",101513571766435454355723114188696307527864518980689079866102837918467349506537,Yes,123518.58999000017,3811.0966,0.19,0.21,0.02,True,False,2025-10-05T20:05:59.793815Z,2028-01-01T05:00:00Z,2025-10-05T20:04:25.962415Z,will-hyperliquid-perform-an-airdrop-by-december-31-2026,2026-05-30T07:54:11.206357+00:00
2119266,29005,MegaETH airdrop by...?,"Will MegaETH perform an airdrop by December 31, 2026?",,Crypto,"Airdrops, MegaETH, Crypto, Pre-Market",4073964439546781679844222219197458984323215148120046536055850319869173017640,Yes,5400.663769999998,1016.3042,0.28,0.53,0.25,True,False,2026-04-29T21:35:24.69066Z,2027-01-01T05:00:00Z,2026-04-29T21:32:45.048017Z,will-megaeth-perform-an-airdrop-by-december-31-2026,2026-05-30T07:54:11.206357+00:00
556106,29005,MegaETH airdrop by...?,Will MegaETH perform an airdrop by September 30? ,,Crypto,"Airdrops, MegaETH, Crypto, Pre-Market",61418797388424950216618607317951335315222636709300971806087390558822293814677,Yes,4901.241316,5468.80712,,0.01,0.01,True,True,2025-06-26T19:51:03.982079Z,2027-01-01T05:00:00Z,2025-06-26T19:38:05.512123Z,will-megaeth-perform-an-airdrop-by-september-30,2026-05-30T07:54:11.206357+00:00
