date,category,avg_rolling_volatility_7d
2025-05-10,Other,0.0341216311785605
2025-05-11,Other,0.0138443731048634
2025-05-12,Other,0.0136713116380529
2025-05-13,Other,0.0136713116380529
2025-05-14,Other,0.0060749289629395
2025-05-15,Other,0.0055634864026418
2025-05-16,Other,0.0053452248382485
2025-05-17,Other,0.0047559486560567
2025-05-18,Other,0.0044986770542122
2025-05-19,Other,0.0037796447300923
2025-05-20,Other,0.0039339789623472
2025-05-21,Other,0.0018898223650462
2025-05-22,Other,0.0024397501823713
2025-05-23,Other,0.0034503277967118
2025-05-24,Other,0.0034503277967118
2025-05-25,Other,0.0034503277967118
2025-05-26,Other,0.0037796447300923
2025-05-27,Other,0.0034503277967118
2025-05-28,Other,0.0034503277967118
2025-05-29,Other,0.0028867513459481
2025-05-30,Other,0.0024397501823713
2025-05-31,Other,0.0024397501823713
2025-06-01,Other,0.0024397501823713
2025-06-02,Other,0.0018898223650462
2025-06-03,Other,0.0024397501823713
2025-06-04,Other,0.012817398889233
2025-06-05,Other,0.0141421356237309
2025-06-06,Other,0.014556948921555
2025-06-07,Other,0.014556948921555
2025-06-08,Other,0.014556948921555
2025-06-09,Other,0.014556948921555
2025-06-10,Other,0.0149204238418031
2025-06-11,Other,0.0101770048919821
2025-06-12,Other,0.0056694670951384
2025-06-13,Other,0.0055634864026418
2025-06-14,Other,0.0055634864026418
2025-06-15,Other,0.0055634864026418
2025-06-16,Other,0.0053452248382485
2025-06-17,Other,0.0053452248382485
2025-06-18,Other,0.0125356634105601
2025-06-19,Other,0.0184197099403251
2025-06-20,Other,0.0174914945316968
2025-06-21,Other,0.0170433620649269
2025-06-22,Other,0.0177281052085583
2025-06-23,Other,0.0195789002074512
2025-06-24,Other,0.0195789002074512
2025-06-25,Other,0.0175254916376932
2025-06-26,Other,0.0101770048919821
2025-06-27,Other,0.0080178372573727
2025-06-28,Other,0.0128173988892331
2025-06-29,Other,0.0128637549135619
2025-06-30,Other,0.012392393980641
2025-07-01,Basketball,0.02580994505856656
2025-07-01,Hockey,0.0353373346823587
2025-07-01,Other,0.012909944487358
2025-07-02,Basketball,0.028270533776318135
2025-07-02,Hockey,0.03336062913572533
2025-07-02,Other,0.0114434427054265
2025-07-03,Basketball,0.028230184736245202
2025-07-03,Hockey,0.0306382866420865
